institution.name	institution.code	object_number	title	production.date.start	production.date.end	physical_description	collection	description_level	dimension.free	parts_reference	object_history_note	creator	acquisition.notes	content.person.name.type	content.person.name	content.subject.type	content.subject	accruals	system_of_arrangement	access_category.notes	environmental_condition.notes	part_of_reference	part_of.title	legal status
Black Country Living Museum	1430	KEN/A/3/56	Patent Certificate	1897-02	1897-02	Patent certificate for the design of a Kenrick postal handle.  Patent No. 294818.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/57	Patent Certificate	1892-10	1892-10	Patent certificate for the design of a Kenrick plan shelf.  Patent No. 201380.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/58	Patent Certificate	1892-07	1892-07	Patent certificate for the design of a Kenrick shelf bracket.  Patent No. 195357.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/59	Patent Certificate	1893-03	1893-03	Patent certificate for the design of a Kenrick teapot stand with oak and holly groundwork.  Patent No. 209667.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/6	Patent Certificate	1873-10	1873-10	Ornamental design for a Kenrick umbrella stand.  Patent No. 277087.	Archibald Kenrick & Sons	item	1 item			Archibald Kenrick & Sons								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/60	Patent  Certificate	1893-09	1893-09	Patent certificate for the design of a Kenrick bracket.  Patent No. 218362.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/61	Patent Certificate	1894-05	1894-05	Patent certificate for the design of a Kenrick radiator for the 'Aurora' stove.  Patent No. 231907.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/62	Patent Certificate	1894-05	1894-05	Patent certificate for the design of a Kenrick ornamental shovel.  Patent No: 232381.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/63	Patent Certificate	1894-05	1894-05	Patent certificate for the design of a Kenrick door knob.  Patent No: 232413.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/64	Patent Certificate	1894-05	1894-05	Patent certificate for the design of a Kenrick door knocker.  Patent No: 232685.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/65	Patent Certificate	1894-05	1894-05	Patent certificate for the design of a Kenrick door knocker.  Patent No: 232686.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/66	Patent Certificate	1894-09	1894-09	Patent certificate for the design of a Kenrick teapot stand.  Patent No: 240347.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/67	Patent Certificate	1894-05	1894-05	Patent certificate for the design of a Kenrick letter plate (No. 31).  Patent No: 232958.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/68	Patent Certificate	1894-10	1894-10	Patent certificate for the design of a Kenrick stove [hob] lifter.  Patent No: 242720.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/69	Patent Certificate	1894-11	1894-11	Patent certificate for the design of a Kenrick horse bridle bracket (No. 551).  Patent No: 243613.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/7	Certificate	1877-07	1877-07	Registration certificate for trade mark numbers 7493-5 for Archibald Kenrick & Sons	Archibald Kenrick & Sons	item	1 item			Archibald Kenrick & Sons								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/70	Patent Certificate	1894-11	1894-11	Patent certificate for the design of a Kenrick horse collar bracket (No. 559).  Patent No: 243614.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/71	Patent Certificate	1895-06	1895-06	Patent certificate for the design of a Kenrick 'Throstle' stove.  Patent No: 255842.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/72	Patent Certificate	1895-04	1895-04	Patent certificate for the design of a Kenrick lamp stove.  Patent No: 252754.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/73	Patent Certificate	1895-04	1895-04	Patent certificate for the design of a Kenrick radiator.  Patent No: 252753.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/74	Patent Certificate	1894-11	1894-11	Patent certificate for the design of a Kenrick single harness and saddle bracket (No. 554).  Patent No: 243616.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/75	Patent Certificate	1893-01	1893-01	Patent certificate for the design of a Kenrick hat and coat hook.  Patent No: 205837.	Archibald Kenrick & Sons Limited	item	 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/76	Patent Certificate	1892-04	1892-04	Patent certificate for the design of Kenrick plain and lettered door knockers (Nos. 442 & 443).  Patent No: 191108.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/77	Patent Certificate	1892-04	1892-04	Patent certificate for the design of a Kenrick door knocker (No. 441).  Patent No: 191107.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/78	Patent Certificate	1892-04	1892-04	Patent certificate for the design of a Kenrick door knocker (No. 27).  Patent No: 191105.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/79	Patent Certificate	1891-12	1891-12	Patent certificate for the design of a Kenrick string box (No. 11).  Patent No: 184992.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/8	Certificate	1903-12	1903-12	Certificate of incorporation of Margewood Lock Company Limited into [Archibald Kenrick & Sons Limited].	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/80	Patent Certificate	1891-07	1891-07	Patent certificate for the design of a Kenrick trivet (No. 33).  Patent No: 174125.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/81	Patent Certificate	1891-07	1891-07	Patent certificate for the design of a Kenrick lamp base (No. 189).  Patent No: 174122.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/82	Patent Certificate	1891-07	1891-07	Patent certificate for the design of a Kenrick lamp base (No. 183).  Patent No: 174123.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/83	Patent Certificate	1891-07	1891-07	Patent certificate for the design of a Kenrick trivet (No. 30).  Patent No: 174124.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/84	Patent Certificate	1891-07	1891-07	Patent certificate for the design of a Kenrick lamp base (No. 184).  Patent No: 174121.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/85	Patent Certificate	1891-04	1891-04	Patent certificate for the design of Kenrick short and long lamp bases (Nos. 187 & 188).  Patent No: 169191.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/86	Patent Certificate	1891-04	1891-04	Patent certificate for the design of a Kenrick lamp base (No. 186).  Patent No: 169190.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/87	Patent Certificate	1891-04	1891-04	Patent certificate for the design of a Kenrick trivet and teapot stand.  Patent No: 169189.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/88	Patent Certificate	1895-07	1895-07	Patent certificate for the design of a Kenrick coffee mill.  Patent No: 257707.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/89	Patent Certificate	1896-07	1896-07	Patent certificate for the design of a Kenrick 'chestnut' store.  Patent No: 280528.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/9	Patent Certificate	1886	1886	Patent certificate for a Kenrick bedstead key.  Patent No. 50424.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/90	Patent Certificate	1901-04	1901-04	Patent certificate for the design of a Kenrick hat and coat hook (No. 624).  Patent No: 373218.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/91	Patent Certificate	1901-04	1901-04	Patent certificate for the design of a Kenrick hat and coat hook (No. 625).  Patent No: 373219.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/92	Patent Certificate	1901-05	1901-05	Patent certificate for the design of a Kenrick Gothic door handle (No. 806).  Patent No: 374369.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/93	Patent Certificate	1901-05	1901-05	Patent certificate for the design of a Kenrick Gothic door handle (No. 804).  Patent No: 374370.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/94	Patent Certificate	1901-05	1901-05	Patent certificate for the design of a Kenrick Gothic door handle (No. 802).  Patent No: 374371.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/95	Patent Certificate	1901-05	1901-05	Patent certificate for the design of a Kenrick Gothic door latch (No. 824).  Patent No: 374372.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/96	Patent Certificate	1902-02	1902-02	Patent certificate for the design of a Kenrick postal handle (No. 54).  Patent No: 386610.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/97	Patent Certificate	1901-05	1901-05	Patent certificate for the design of a Kenrick Gothic door latch (No. 825).  Patent No: 374373.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/98	Patent Certificate	1901-01	1901-01	Patent certificate for the design of a Kenrick door knob (No. 33).  Patent No: 369781.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/3/99	Patent Certificate	1901-02	1901-02	Patent certificate for the design of a Kenrick Gothic door knob (No. 34).  Patent No: 369782.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/3	Certificates	
Black Country Living Museum	1430	KEN/A/4	Employees	1845	1953	Material relating to employee records produced by Archibald Kenrick & Sons ans its subsidiary companies.	Archibald Kenrick	sub-series		KEN/A/4/1		Archibald Kenrick & Sons								Open		KEN/A	Administration Records	
Black Country Living Museum	1430	KEN/A/4/1	Apprenticeship Indenture	1882-08	1882-08	"George Henry Wilkes apprenticed to John Arthur Kenrick, William Kenrick and George Hmilton Kenrick."	Archibald Kenrick & Sons	item	1 item			Archibald Kenrick & Sons								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/10	Employment Agreement	1896-04	1896-04	Document detailing the hiring of Charles H. Pearsall as a polisher and electric plater for Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/11	Employment Agreement	1900-11	1900-11	Document detailing the hiring of William Lewis as a cast iron or malleable cast iron foreman for Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/12	Employment Agreement	1890-03	1890-03	Document detailing the hiring of Josiah Holden as a holloware turner for Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/13	Employment Agreement	1890-09	1890-09	Document detailing the hiring of Stephen Abell as a holloware turner for Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/14	Employment Agreement	1890-03	1890-03	Document detailing the hiring of Stephen Abell as a holloware turner for Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/15	Employment Agreement	1890-09	1890-09	Document detailing the hiring of Henry Dearn as a holloware turner at Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/16	Employment Agreement	1890-03	1890-03	Document detailing the hiring of Lawrence Kerrigan as a holloware turner at Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/17	Employment Agreement	1894-07	1894-07	Document detailing the hiring of Thomas William Leedham as a wages clerk at Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/18	Employment Agreement	1885-10	1885-10	Document detailing the hiring of [Hezekiah] Chumbley as a draughtsman's clerk at Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/19	Employment Agreement	1911-05	1911-05	Document detailing the hiring of J. Harrold for the supervision of an erection of plant and the teaching of manufacturing processes to company employees  at Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/2	Contract Book	1838	1845	Notebook containing written contracts in connection with the hiring of men to work for Archibald Kenrick in various capacities.  Book also contains bundle of loose contracts.	Archibald Kenrick & Sons	item	1 item			Archibald Kenrick & Sons								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/20	Employment Agreement	1890-09	1890-09	Document detailing the hiring of Edward Franks as a holloware turner at Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/21	Employment Agreement	1890-03	1890-09	Document detailing the hiring of William Franks as a holloware turner at Archibald Kenrick & Sons Limited.  Document is in two parts.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/22	Employment Agreement	1907-03	1907-03	Document detailing the hiring of Bernard Norton as a foreman in the lock making and enamelling shops at Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/23	Employment Agreement	1890-03	1890-03	Document detailing the hiring of John Davies as a holloware turner at Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/24	Employment Agreement	1891-03	1891-03	Document detailing the hiring of Charles H. Pearsall as a polisher and plater for Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/25	Apprenticeship Indenture	1899-08	1899-08	"Document detailing the apprenticeship agreement between John Ernest Warden as a holloware turner, and Archibald Kenrick & Sons Limited."	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/26	Apprenticeship Indenture	1905-02	1905-02	"Document detailing the apprenticeship agreement between William H. Brown as a holloware turner, and Archibald Kenrick & Sons Limited."	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/27	Apprenticeship Indenture	1895-12	1895-12	Document detailing the apprenticeship agreement between Frank Holloway as a holloware tinner and Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/28	Apprenticeship Indenture	1895-12	1895-12	Document detailing the apprenticeship agreement between Frank Bayliss as a holloware tinner and Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/29	Apprenticeship Indenture	1895-12	1895-12	Document detailing the apprenticeship agreement between William Parish as a holloware tinner and Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/3	Employment Agreement	1890-03	1890-03	Document detailing the hiring of Joshua Boswell as a holloware turner for Archibald Kenrick & Sons Limited.  Document is in two parts.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/30	Apprenticeship Indenture	1896-03	1896-03	Document detailing the apprenticeship agreement between John Holden as a holloware tinner and Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/31	Apprenticeship Indenture	1904-07	1905-07	Document detailing the apprenticeship agreement between Arthur Tonks as a [holloware] tinner and Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/32	Apprenticeship Indenture	1887-01	1887-01	Document detailing the apprenticeship agreement between William Brookes as a fitter and Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/33	Apprenticeship Indenture	1889-11	1889-11	Document detailing the apprenticeship agreement between John Bevin as a holloware turner and Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/34	Apprenticeship Indenture	1900-10	1900-10	Document detailing the apprenticeship agreement between William Henry Hales as a holloware moulder and Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/35	Apprenticeship Indenture	1898-02	1898-02	Document detailing the apprenticeship agreement between William Grice as a holloware tinner and Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/36	Apprenticeship Agrement	1900-01	1900-01	Document detailing the apprenticeship agreement between William Laws as a holloware caster and Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/37	Apprenticeship Indenture	1898-04	1898-04	Document detailing the apprenticeship agreement between Edward Poulton Junior as a holloware moulder and Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/38	Apprenticeship Indenture	1907-02	1907-02	Document detailing the apprenticeship agreement between Andrew Whitehouse as a holloware tinner and Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/39	Apprenticeship Indenture	1897-02	1897-02	Document detailing the apprenticeship agreement between Noah Barnes as a holloware tinner and Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/4	Employment Agreement	1890-09	1890-09	Document detailing the hiring of Joseph Edward Hinton as a holloware turner for Archbald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/40	Apprenticeship Indenture	1907-10	1907-10	Document detailing the apprenticeship agreement between George Brown as a holloware tinner and Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/41	Apprenticeship Indenture	1903-01	1903-01	Document detailing the apprenticeship agreement between William Grice as a holloware tinner and Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/42	Apprenticeship Indenture	1901-08	1901-08	"Document detailing the apprenticeship agreement between George Henry Williscroft as an oddwork caster, and Archibald Kenrick & Sons Limited."	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/43	Apprenticeship Indenture	1905-08	1905-08	Document detailing the apprenticeship agreement between Archibald Richards as a carpenter and Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/44	Apprenticeship Indenture	1898-02	1898-02	Document detailing the apprenticeship agreement between Thomas Herbert Barratt as a machine setter with Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/45	Apprenticeship Indenture	1896-05	1896-05	Document detailing the apprenticeship agreement between Thomas Herbert Barratt as a machine setter with Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/46	Redundancy Agreements	1892	1894	"Documents detailing the redundancies of the following employees of Archibald Kenrick & Sons Limited:No. 1: Joseph Edwin Hinton, holloware turner (1892).No. 2: Stephen Abell, holloware turner (1892).No. 3: Joseph Saunders, holloware turner (1892).No. 4: Eli Walker, holloware turner (1892).No. 5: James Cox, holloware turner (1892).No. 6: Mark Rook, holloware turner (Feb 1892).No. 7: Robert Elwell, holloware turner (Feb 1892).No. 8: George. H. Smith, holloware turner (Feb 1892).No. 9: George Brookes, holloware turner (Feb 1892).No. 10: Jacob Joyner, holloware turner (Feb 1892).No. 11: Edwin Brookes, holloware turner (Apr 1892).No. 12: James Corbett, holloware turner (Apr 1892).No. 13: Benjamin Smith, holloware turner (Jun 1892).No. 14: Arthur Williams, holloware turner (Jun 1892).No. 15: Ezekiel Jones, holloware turner (Sep 1892).No. 16: William Franks, holloware turner (Oct 1892).No. 17: Edward Franks, holloware turner (Oct 1892).No. 18: George Miller, holloware turner (Nov 1892).No. 19: George Holloway Senior, holloware turner (Mar 1893).No. 20: William Turner, holloware turner (Apr 1893).No. 21: David Sheldon, holloware turner (May 1893).No. 22: George Holloway Junior, holloware turner (May 1893).No. 23: Alfred Bennett, holloware turner (Jun 1893).No. 24: George Henry Keen, holloware turner (Jul 1893).No. 25: Alfred Westwood, holloware turner (Dec 1893).No. 26: William Henry Bennett, holloware turner (Jan 1894).No. 27: Charles Phillips, holloware turner (Jan 1894).No. 28: William Crees, holloware turner (Jan 1894).No. 29: Samuel Westwood, holloware turner (Jan 1894).No. 30: Thomas Holloway, holloware turner (Jan 1894).No. 31: John Berry, holloware turner (Jan 1894).No. 32: Joseph Clive, holloware turner (Jan 1894).No.33: Harry Walker, holloware turner (Feb 1894).No. 34: Charles Warden, holloware turner (Mar 1894).No. 35: George Lord, holloware turner (Apr 1894).  No. 36: Joseph Hunt, holloware turner (Nov 1903).No. 37: William Jones, holloware turner (Jul 1904)."	Archibald Kenrick & Sons Limited	item	1 bundle			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/47	Employment Agreement	1890-03	1890-03	Document detailing the hiring of James Cox as a holloware turner at Archibald Kenrick & Sons Limited	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
Black Country Living Museum	1430	KEN/A/4/48	Apprenticeship Indenture	1905-06	1905-06	Document detailing the apprenticeship agreement between Thomas Herbert Wale as a wood pattern maker with Archibald Kenrick & Sons Limited.	Archibald Kenrick & Sons Limited	item	1 item			Archibald Kenrick & Sons Limited								Open		KEN/A/4	Employees	
